frame_local_time,date,time,x,y,point_type,is_shaded,solar_exposure_pct,air_temperature_c,estimated_point_temperature_c,rain_mm_h,cloud_cover,cloud_unit
2026-04-19 00:00:00,2026-04-19,00:00:00,36.0,50.0,środek toru,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,36.0,58.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,36.0,60.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,36.0,62.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,36.0,64.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,36.0,66.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,36.0,68.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,38.0,30.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,38.0,32.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,38.0,34.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,38.0,36.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,38.0,38.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,38.0,40.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,38.0,42.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,38.0,48.0,środek toru,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,38.0,50.0,środek toru,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,38.0,52.0,środek toru,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,38.0,58.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,38.0,60.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,38.0,62.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,38.0,64.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,38.0,66.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,38.0,68.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,38.0,70.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,40.0,30.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,40.0,32.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,40.0,34.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,40.0,36.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,40.0,38.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,40.0,40.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,40.0,46.0,środek toru,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,40.0,48.0,środek toru,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,40.0,50.0,środek toru,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,40.0,52.0,środek toru,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,40.0,54.0,środek toru,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,40.0,60.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,40.0,62.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,40.0,64.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,40.0,66.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,40.0,68.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,40.0,70.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,42.0,30.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,42.0,32.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,42.0,34.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,42.0,36.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,42.0,38.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,42.0,40.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,42.0,44.0,środek toru,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,42.0,46.0,środek toru,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,42.0,48.0,środek toru,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,42.0,50.0,środek toru,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,42.0,52.0,środek toru,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,42.0,54.0,środek toru,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,42.0,56.0,środek toru,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,42.0,60.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,42.0,62.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,42.0,64.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,42.0,66.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,42.0,68.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,42.0,70.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,44.0,28.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,44.0,30.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,44.0,32.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,44.0,34.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,44.0,36.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,44.0,38.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,44.0,44.0,środek toru,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,44.0,46.0,środek toru,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,44.0,48.0,środek toru,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,44.0,50.0,środek toru,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,44.0,52.0,środek toru,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,44.0,54.0,środek toru,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,44.0,56.0,środek toru,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,44.0,62.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,44.0,64.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,44.0,66.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,44.0,68.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,44.0,70.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,44.0,72.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,46.0,28.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,46.0,30.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,46.0,32.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,46.0,34.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,46.0,36.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,46.0,38.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,46.0,44.0,środek toru,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,46.0,46.0,środek toru,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,46.0,48.0,środek toru,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,46.0,50.0,środek toru,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,46.0,52.0,środek toru,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,46.0,54.0,środek toru,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,46.0,56.0,środek toru,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,46.0,62.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,46.0,64.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,46.0,66.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,46.0,68.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,46.0,70.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,46.0,72.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
